TC ID;TEST CASE NAME;CONTROL FLOW;OR;PAGE;ELEMENT REF;ACTION;TEST DATA;EXPECTED RESULT;DESCRIPTION;PRIORITY;FLAGS;SERVICE CONFIG;REMARKS
;;;DMIOnlineSync;RightPane;CAProductDescriptionLong;ENTER;Automation test5;;CAProductDescriptionLong;;;;
;;;DMIOnlineSync;RightPane;CABenefit1;ENTER;Automation test6;;CABenefit1;;;;
;;;DMIOnlineSync;RightPane;CABenefit2;VERIFYELEMENTPRESENT;;;CABenefit2;;;;
;;;DMIOnlineSync;RightPane;CABenefit3;VERIFYELEMENTPRESENT;;;CABenefit3;;;;
;;;DMIOnlineSync;RightPane;CABenefit4;VERIFYELEMENTPRESENT;;;CABenefit4;;;;
;;;DMIOnlineSync;RightPane;CABenefit5;VERIFYELEMENTPRESENT;;;CABenefit5;;;;
;;;DMIOnlineSync;RightPane;CAInstructionOfUse;ENTER;Automation test7;;CAInstructionOfUse;;;;
;;;DMIOnlineSync;RightPane;CAClaim;ENTER;Automation test8;;CAClaim;;;;
;;;DMIOnlineSync;RightPane;CACollectionName;ENTER;Automation test9;;CACollectionName;;;;
;;;DMIOnlineSync;RightPane;ConsumerBenefits;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Consumer Benefits ;;IGNORE TESTSTEP;;
;;;DMIOnlineSync;RightPane;ConsumerBenefits;ENTER;Automation_ConsumerBenefits;;Enter value in Consumer Benefits ;;IGNORE TESTSTEP;;
;;;DMIOnlineSync;RightPane;InstructionOfUse;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Instruction of Use;;IGNORE TESTSTEP;;
;;;DMIOnlineSync;RightPane;InstructionOfUse;ENTER;Automation_InstructionOfUse;;Enter value in Instruction Of Use;;IGNORE TESTSTEP;;
;;;DMIOnlineSync;Home;Product_Name;CLEARFIELD;;;Clearing Product Name;;;;
;;;DMIOnlineSync;Home;Product_Name;ENTER;Automation_MasterProductName;;Enter Product Name;;;;
;;;DMIOnlineSync;RightPane;CAFormulation;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Formulation;;;;
;;;DMIOnlineSync;RightPane;CAFormulation;ENTER;Talc-free;;Enter Formulation;;;;
;;;DMIOnlineSync;RightPane;Texture;ENTER;Gel;;Enter Texture;;IGNORE TESTSTEP;;
;;;DMIOnlineSync;RightPane;MascaraEffect;ENTER;Volume;;Enter Mascara Effect;;IGNORE TESTSTEP;;
;;;DMIOnlineSync;RightPane;EyeShaddowEffect;ENTER;Shimmer;;Enter EyeShaddowEffect;;IGNORE TESTSTEP;;
;;;Custom;;;WAIT;10;;Custom Wait;;;;
;;IF;DMIOnlineSync;Home;Go_To_Attachments;VERIFYELEMENTPRESENT;;;Verify Go To Attachments;;;;
;;;DMIOnlineSync;Home;Go_To_Attachments;CLICK;;;Click Go To Attachments;;;;
;;;Custom;;;WAIT;5;;Custom Wait;;;;
;;ELSE;Custom;;;WAIT;5;;Custom Wait;;;;
;;;DMIOnlineSync;Home;Select_Particular_Ean_Lancome;CLICK;;;Click Particular Task;;;;
;;;DMIOnlineSync;Home;Go_To_Attachments;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Go to Attachments;;;;
;;;DMIOnlineSync;Home;Go_To_Attachments;CLICK;;;Click Go To Attachments;;;;
;;END IF;Custom;;;WAIT;10;;Custom Wait;;;;
;;;DMIOnlineSync;Home;First_ProductEN_CA;DOUBLECLICK;;;Click First Variant Product;;;;
;;;Custom;;;WAIT;5;;Custom Wait;;;;
;;;DMIOnlineSync;Home;Loading_Indicator;WAITTILLOBJAVAILABLE;60;;Wait till Loading Indicator;;;;
;;;DMIOnlineSync;Home;General_Product_Information;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for General Product Information;;;;
;;;DMIOnlineSync;Home;General_Product_Information;RIGHTMOUSECLICK;;;Right Click on General Product Information;;;;
;;;DMIOnlineSync;Home;Expand_All_Tabs;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Expand All ;;;;
;;;DMIOnlineSync;Home;Expand_All_Tabs;CLICK;;;Click on Expand All ;;;;
;;;Custom;;;WAIT;5;;Custom Wait;;;;
;;;DMIOnlineSync;Home;Loading_Indicator;WAITTILLOBJAVAILABLE;60;;Wait till Loading Indicator;;;;
;;;Custom;;;WAIT;10;;Custom Wait;;;;
;;;DMIOnlineSync;Home;Image_Association_IconCA;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Image Icon;;;;
;;;DMIOnlineSync;Home;Image_Association_IconCA;CLICK;;;Click Image Icon;;;;
;;;Custom;;;WAIT;2;;Custom Wait;;;;
;;;DMIOnlineSync;Home;Loading_Indicator;WAITTILLOBJAVAILABLE;60;;Wait till Loading Indicator;;;;
;;;DMIOnlineSync;Home;Image_Public_Folders;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Public Folders to display;;;;
;;;DMIOnlineSync;Home;Image_Public_Folders_txt;CLICK;;;Click Public Folders;;;;
;;;DMIOnlineSync;Home;Image_SearchAll;ENTER;*;;Search All Asset;;;;
;;;DMIOnlineSync;Home;Image_SearchButton;CLICK;;;Click on Search Button;;;;
;;;DMIOnlineSync;Home;Loading_Indicator;WAITTILLOBJAVAILABLE;60;;Wait till Loading Indicator;;;;
